"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:39:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","profitMultiplier","[step]","mean [w] of turtles"
"11","0.5","9","33876.89"
"12","0.5","21","73689.605"
"11","0.5","10","37391.615"
"12","0.5","22","76939.44"
"13","0.5","11","40818.225"
"12","0.5","23","80090.615"
"11","0.5","11","40888.535"
"12","0.5","24","83264.855"
"13","0.5","12","44434.86"
"1","0.5","20","68708.145"
"11","0.5","12","44043.635"
"13","0.5","13","47802.465"
"11","0.5","13","47412.545"
"13","0.5","14","51270.36"
"11","0.5","14","50729.435"
"1","0.5","21","71807.33"
"11","0.5","15","53838.58"
"13","0.5","15","54834.5"
"1","0.5","22","74842.04"
"11","0.5","16","56953.935"
"13","0.5","16","58056.73"
"1","0.5","23","77947.495"
"13","0.5","17","61432.145"
"11","0.5","17","60149.94"
"13","0.5","18","64873.25"
"14","0.5","0","0"
"1","0.5","24","80913.285"
"13","0.5","19","68118.545"
"14","0.5","1","3660.3"
"11","0.5","18","63473.41"
"14","0.5","2","7486.405"
"13","0.5","20","71384.875"
"11","0.5","19","66541.92"
"14","0.5","3","11374.11"
"11","0.5","20","69792.49"
"13","0.5","21","74664.06"
"14","0.5","4","15125.03"
"11","0.5","21","72871.715"
"13","0.5","22","77972.545"
"14","0.5","5","18818.76"
"11","0.5","22","75889.45"
"13","0.5","23","81088.69"
"14","0.5","6","22415.09"
"11","0.5","23","79087.52"
"14","0.5","7","25876.555"
"13","0.5","24","84447.045"
"11","0.5","24","82122.355"
"14","0.5","8","29399.45"
"14","0.5","9","32912.215"
"14","0.5","10","36438.25"
"14","0.5","11","39818.87"
"14","0.5","12","43067.745"
"14","0.5","13","46328.405"
"14","0.5","14","49657.3"
"14","0.5","15","53046.635"
"15","0.5","0","0"
"14","0.5","16","56380.59"
"14","0.5","17","59441.14"
"15","0.5","1","3806.925"
"14","0.5","18","62604.145"
"15","0.5","2","7937.95"
"14","0.5","19","65792.64"
"16","0.5","0","0"
"15","0.5","3","11749.36"
"14","0.5","20","68865.54"
"16","0.5","1","3866.095"
"14","0.5","21","72032.63"
"15","0.5","4","15788.015"
"16","0.5","2","7767.75"
"14","0.5","22","75103.365"
"15","0.5","5","19676.645"
"14","0.5","23","78016.405"
"15","0.5","6","23257.86"
"14","0.5","24","81109.81"
"15","0.5","7","26922.85"
"16","0.5","3","11576.145"
"15","0.5","8","30551.92"
"15","0.5","9","34084.17"
"15","0.5","10","37597.585"
"15","0.5","11","40970.6"
"15","0.5","12","44400.73"
"15","0.5","13","47737.81"
"15","0.5","14","51218.63"
"17","0.5","0","0"
"17","0.5","1","4070.475"
"15","0.5","15","54540.61"
"17","0.5","2","7844.865"
"17","0.5","3","11714.775"
"17","0.5","4","15525.98"
"15","0.5","16","57895.96"
"17","0.5","5","19408.555"
"15","0.5","17","61292.355"
"17","0.5","6","23207.26"
"15","0.5","18","64579.215"
"17","0.5","7","26940.185"
"15","0.5","19","67776.595"
"17","0.5","8","30561.935"
"15","0.5","20","71048.755"
"17","0.5","9","34050.335"
"15","0.5","21","74100.815"
"17","0.5","10","37404.46"
"15","0.5","22","77203.685"
"17","0.5","11","40705.435"
"15","0.5","23","80330.57"
"17","0.5","12","44001.825"
"17","0.5","13","47088.355"
"15","0.5","24","83479.555"
"17","0.5","14","50320.605"
"17","0.5","15","53613.54"
"16","0.5","4","15343.555"
"17","0.5","16","56881.875"
"16","0.5","5","19128.265"
"17","0.5","17","60076.36"
"16","0.5","6","23047.705"
"17","0.5","18","63292.555"
"19","0.5","0","0"
"17","0.5","19","66454.555"
"16","0.5","7","26616.87"
"19","0.5","1","3690.89"
"17","0.5","20","69674.955"
"16","0.5","8","30164.755"
