"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor-12-2.nlogo"
"Fig-12-1"
"01/28/2013 13:50:31:000 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
,"70937.81","51","7093.781","66253.3","48","6625.330000000001","67838.66","40","6783.866","65060.52","39","6506.052000000001","61290.06","50","6129.005999999999","62825.64","23","6282.564000000001","59182.81","47","5918.280999999999","61413.85","35","6141.385000000001","51280.87","35","5128.0869999999995","55931.88","38","5593.187999999999","53903.61","43","5390.361","51528.88","25","5152.887999999999","57534.63","27","5753.462999999997","52510.81","44","5251.081","51752.53","32","5175.253000000002","50783.53","33","5078.352999999999","50413.26","26","5041.326","45896.79","27","4589.679000000001","46805.28","19","4680.528","46719.54","27","4671.953999999999","50313.86","21","5031.3859999999995","48798.09","21","4879.808999999999","45893.4","33","4589.34","49338.01","24","4933.800999999999","39950.21","26","3995.021","41782.14","25","4178.214000000001"
,"77973.16","57","7088.46909090909","72838.89","53","6621.717272727271","74212.04","42","6746.54909090909","71084.53","40","6462.23","66844.44","52","6076.767272727272","67700.36","28","6154.578181818182","64095.92","51","5826.901818181817","66683.32","37","6062.120000000001","55821.03","37","5074.63909090909","60536.67","47","5503.333636363635","58563.1","45","5323.918181818182","55907.2","26","5082.472727272729","62444.83","28","5676.802727272726","56669.88","46","5151.807272727272","55876.17","39","5079.651818181821","55150.67","37","5013.697272727272","54856.12","27","4986.92","49505.49","32","4500.49909090909","50469.56","23","4588.141818181818","50490.36","27","4590.032727272728","54391.49","21","4944.680909090911","52895.34","22","4808.667272727273","49850.19","36","4531.835454545455","53938.01","30","4903.455454545453","42885.61","30","3898.6918181818164","45294.37","26","4117.67"
,"84745.46","66","7062.121666666668","79363.04","56","6613.586666666664","80520.38","45","6710.031666666668","76849.55","44","6404.1291666666675","72216.33","55","6018.0275","72693.87","30","6057.8225","68644.77","54","5720.397499999997","72056.42","39","6004.701666666666","59692.3","39","4974.358333333334","65097.74","52","5424.811666666665","63471.18","47","5289.2649999999985","59844.39","28","4987.032499999999","67004.31","32","5583.6925","60772.48","48","5064.373333333334","60252.65","41","5021.054166666668","59233.46","38","4936.121666666666","59018.89","29","4918.240833333333","53392.84","37","4449.403333333335","53919.74","26","4493.311666666668","54267.64","27","4522.303333333336","58602.78","22","4883.565","57142.11","23","4761.8425","54133.56","38","4511.13","58285.62","34","4857.134999999998","46164.73","31","3847.0608333333344","48552.32","27","4046.0266666666666"
,"91775.62","73","7059.663076923075","85757.14","61","6596.703076923075","86600.15","49","6661.550000000001","82348.94","47","6334.533846153845","77483.03","58","5960.2330769230775","77265.74","35","5943.518461538461","73486.28","54","5652.790769230769","77122.77","44","5932.52076923077","63021.65","44","4847.81923076923","69783.77","54","5367.982307692307","68148.34","48","5242.18","63735.01","30","4902.693076923078","71736.94","36","5518.2261538461535","64615.68","52","4970.436923076922","64688.55","43","4976.042307692307","63522.44","40","4886.341538461539","63161.66","30","4858.589230769229","57551.04","38","4427.003076923077","57849.07","27","4449.92846153846","57951.64","31","4457.818461538462","62545.81","23","4811.216153846156","61134.82","25","4702.678461538462","58217.62","39","4478.27846153846","62536.03","37","4810.463846153848","49194.04","36","3784.156923076924","51984.17","31","3998.782307692308"
,"98963.74","78","7068.838571428572","92246.26","63","6589.018571428571","92686.61","51","6620.472142857145","88075.04","49","6291.074285714284","82436.81","60","5888.343571428572","82356.51","39","5882.607857142857","77922.2","56","5565.871428571426","81970.15","48","5855.010714285715","66898.51","47","4778.464999999999","74209.99","60","5300.713571428571","72635.08","51","5188.219999999999","67804.4","37","4843.171428571428","76395.99","41","5456.856428571429","68750.54","53","4910.752857142857","69168.7","45","4940.62142857143","67245.87","42","4803.2764285714275","67076.96","33","4791.211428571426","61010.55","41","4357.89642857143","61639.71","31","4402.836428571427","61669.77","31","4404.983571428572","66213","27","4729.5","65282.64","27","4663.045714285714","62230.72","44","4445.051428571429","67313.48","37","4808.105714285714","52325.73","39","3737.5521428571433","55184.44","34","3941.745714285713"
,"106066.24","84","7071.082666666668","98750.34","65","6583.3560000000025","98473.84","55","6564.922666666666","93402.75","54","6226.85","87663.09","61","5844.206","87101.88","43","5806.792000000002","82329.04","61","5488.602666666665","86901.06","53","5793.403999999999","70377.34","49","4691.822666666667","78757.77","62","5250.518","77114.51","54","5140.967333333332","71933.95","39","4795.596666666666","81037.15","44","5402.476666666667","72819.86","55","4854.657333333334","73096.02","50","4873.067999999999","71351.36","42","4756.757333333335","71081.48","35","4738.765333333332","64509.21","44","4300.6140000000005","64958.15","33","4330.543333333332","65271.62","35","4351.441333333333","70037.73","27","4669.181999999998","69126.07","32","4608.404666666667","66163.58","45","4410.905333333334","71445.43","41","4763.028666666666","55499.95","41","3699.9966666666674","58359.88","37","3890.658666666666"
,"113342.89","88","7083.930625","105020.67","69","6563.791875","104217.19","58","6513.574375","98410.4","59","6150.65","92611.21","63","5788.200625","92089.3","46","5755.58125","86478.82","64","5404.92625","91572.95","56","5723.309375","73888.83","54","4618.051875","83182.84","64","5198.9275","81535.17","56","5095.948125","75782.85","42","4736.428125","85944.21","44","5371.513125","76807.23","58","4800.451875","77326.11","52","4832.881875","75343.08","44","4708.9425","75122.1","37","4695.13125","67999.63","45","4249.976875","68713.02","36","4294.56375","68870.21","35","4304.388125","73803.01","29","4612.688125","73078.9","34","4567.43125","70122.29","46","4382.643125","75686.19","43","4730.386875","58617.84","42","3663.615","61579.03","38","3848.689375"
,"120417.08","94","7083.357647058825","111328.94","74","6548.761176470591","109532.44","63","6443.084705882351","103695.06","60","6099.7094117647075","97486.09","66","5734.475882352941","97136.32","47","5713.901176470588","91332","65","5372.470588235297","96162.46","58","5656.615294117646","77503.31","58","4559.018235294117","87777.44","68","5163.3788235294105","85826.87","57","5048.639411764707","79951.47","44","4703.027647058822","90702.61","46","5335.447647058825","80873.12","60","4757.242352941177","81458.49","54","4791.675882352942","79274.06","45","4663.18","79154.7","38","4656.158823529409","71605.97","47","4212.115882352941","72138.71","39","4243.453529411764","72728.53","37","4278.148823529411","77157.16","29","4538.656470588235","77344.8","34","4549.694117647058","74364.32","48","4374.371764705883","80389.69","43","4728.8052941176475","61487.61","45","3616.918235294119","64870.17","41","3815.892352941176"
,"127213.24","104","7067.402222222223","117393.5","78","6521.861111111111","114821.01","65","6378.944999999999","108956.07","64","6053.115","102761.29","67","5708.960555555558","102097.2","47","5672.0666666666675","95544.92","67","5308.051111111111","100604.48","64","5589.137777777779","81110.57","60","4506.142777777779","92192.06","69","5121.781111111113","90205","60","5011.388888888889","83910.08","46","4661.671111111112","95415.68","47","5300.871111111112","84974.01","63","4720.778333333333","85537.68","57","4752.093333333334","83188.2","48","4621.5666666666675","83424.09","39","4634.671666666667","74895.44","52","4160.857777777778","75626.82","41","4201.49","76039.03","43","4224.390555555556","80810.42","31","4489.467777777779","80893.41","37","4494.078333333333","78403.71","50","4355.761666666666","84645.65","47","4702.5361111111115","64547.23","47","3585.9572222222223","68184.69","42","3788.038333333333"
,"134222.57","111","7064.345789473683","123697.98","79","6510.419999999999","119887.22","69","6309.853684210527","113909.79","67","5995.252105263157","107619.65","71","5664.192105263157","106759.58","50","5618.925263157895","99770.26","72","5251.066315789473","105271.8","66","5540.62105263158","84196.81","67","4431.411052631577","96535.71","73","5080.826842105263","94636.92","62","4980.890526315788","87731.35","46","4617.439473684209","100047.47","49","5265.656315789474","89172.5","64","4693.289473684211","89402.97","60","4705.419473684211","87107.05","51","4584.581578947368","87307.57","39","4595.135263157895","78232.58","55","4117.504210526315","79076.63","43","4161.927894736843","79712.2","44","4195.378947368421","84487.97","33","4446.735263157895","84764.46","38","4461.287368421053","82385.18","54","4336.062105263158","88801.59","48","4673.767894736841","67601","47","3557.947368421052","71120.76","45","3743.1978947368416"
,"141279.47","118","7063.973500000002","129657.47","84","6482.873500000004","124879.99","73","6243.9995","118995.61","69","5949.780499999999","112511.67","73","5625.5835","111693.07","52","5584.653500000002","104033.31","75","5201.665499999999","109563.14","67","5478.156999999998","87619.14","70","4380.956999999999","100959.77","75","5047.9885","98888.05","64","4944.402499999999","91528.96","49","4576.448000000001","104562.9","54","5228.144999999999","93367.69","64","4668.3845","93335.1","63","4666.755000000001","91098.14","54","4554.907","91257.27","44","4562.8635","81671.2","57","4083.559999999999","82474.4","48","4123.72","83174.46","48","4158.723000000002","88271.9","35","4413.594999999999","88521.37","40","4426.068500000001","86456.75","57","4322.8375","93424.08","49","4671.204000000001","70472.04","51","3523.6019999999994","74249.55","48","3712.4775000000004"
,"148469.71","123","7069.986190476193","135220","94","6439.047619047619","129934.76","77","6187.3695238095215","124386.39","71","5923.1614285714295","117303.76","79","5585.893333333333","116292.62","54","5537.743809523809","108298.51","78","5157.071904761905","114241.28","68","5440.060952380949","90977.53","74","4332.263333333333","105325.45","75","5015.497619047619","103008.09","67","4905.147142857143","95238.71","50","4535.176666666667","108962.4","58","5188.685714285714","97255.81","68","4631.2290476190465","97346.94","67","4635.568571428573","94818.38","56","4515.160952380953","94968.98","46","4522.332380952382","84955.7","58","4045.509523809524","85897","52","4090.333333333333","86655.24","48","4126.4400000000005","91798.45","38","4371.354761904761","92625.71","40","4410.748095238097","90436.16","59","4306.483809523809","97301.82","52","4633.419999999999","73501.68","53","3500.079999999998","77400.47","49","3685.736666666666"
,"155402.79","131","7063.763181818181","141290.19","97","6422.281363636363","134994.25","82","6136.102272727273","128989.42","75","5863.155454545453","122121.03","82","5550.955909090907","120952.18","55","5497.826363636364","112248.42","80","5102.20090909091","119024.07","70","5410.185","94325.32","78","4287.5145454545445","109397.87","83","4972.630454545457","107281.49","69","4876.431363636365","98636.4","60","4483.472727272725","113520.57","61","5160.0259090909085","101500.93","71","4613.678636363637","101164.44","68","4598.3836363636365","98843.2","62","4492.872727272727","98808.25","48","4491.28409090909","88172.54","59","4007.8427272727263","89134.33","55","4051.560454545455","90093.88","53","4095.1763636363617","95848.63","38","4356.755909090909","96175.83","42","4371.6286363636345","94460.31","63","4293.650454545454","101465.46","56","4612.066363636364","76534.84","54","3478.856363636363","80541.3","53","3660.9681818181816"
,"162187.11","141","7051.613478260867","147409.97","98","6409.129130434784","139844.47","86","6080.194347826087","133764.92","78","5815.86608695652","126636.7","85","5505.94347826087","125778.03","56","5468.6100000000015","116144.94","83","5049.779999999999","123317.41","72","5361.62652173913","97826.89","81","4253.343043478261","113548.42","86","4936.887826086956","111478.31","70","4846.88304347826","102315.51","63","4448.50043478261","117508.86","65","5109.080869565219","105590.07","74","4590.872608695652","105113.05","71","4570.132608695652","102387.62","63","4451.635652173913","102498.52","49","4456.457391304348","91379.77","63","3973.0334782608697","92444.38","57","4019.32086956522","93460.6","57","4063.5043478260864","99369.29","40","4320.4039130434785","99847.96","42","4341.215652173914","98365.31","69","4276.752608695652","105294.78","59","4578.033913043477","79179.49","58","3442.586521739131","83456.1","56","3628.526086956522"
,"169388.6","145","7057.8583333333345","153105.72","101","6379.405000000002","144938.27","89","6039.094583333335","138611.54","80","5775.48083333333","131048.36","90","5460.348333333333","130358.38","59","5431.599166666666","120526.9","86","5021.954166666665","127493.28","77","5312.220000000001","101146.98","83","4214.4574999999995","117532.5","88","4897.187500000001","115532.1","79","4813.837499999998","105833.21","68","4409.717083333335","121877.03","69","5078.209583333332","109307.81","74","4554.492083333333","108931.14","74","4538.797499999998","106210.28","63","4425.428333333333","106141.99","53","4422.582916666667","94838.62","66","3951.6091666666675","95798.39","59","3991.599583333333","96947.07","61","4039.46125","103006.12","41","4291.921666666666","103577.62","45","4315.734166666668","102400.75","72","4266.697916666665","109158.66","64","4548.2775","82236.29","60","3426.512083333333","86520.03","57","3605.0012500000007"
